100,50
100,34
100,68
100,61
100,56
200,31
200,23
200,44
200,29
200,18
300,10
300,22
300,21
300,14
300,12
400,5
400,9
400,21
400,20
400,7
500,10
500,14
500,2
500,4
500,2
600,13
600,5
600,3
600,0
600,1
700,0
700,3
700,9
700,5
700,0
800,1
800,2
800,13
800,2
800,6
900,2
900,0
900,5
900,4
900,0
1000,3
1000,1
1000,0
1000,1
1000,0
1100,0
1100,0
1100,0
1100,0
1100,0
1200,0
1200,1
1200,0
1200,1
1200,1
1300,0
1300,0
1300,0
1300,0
1300,0
1400,0
1400,0
1400,0
1400,0
1400,0
1500,0
1500,0
1500,0
1500,0
1500,0
1600,0
1600,0
1600,0
1600,0
1600,0
1700,0
1700,0
1700,0
1700,0
1700,0
1800,0
1800,0
1800,0
1800,0
1800,0
1900,0
1900,0
1900,0
1900,0
1900,0
2000,0
2000,0
2000,0
2000,0
2000,0
